Year,Month,EWT_mean,EWT_median,EWT_std,EWT_var,EWT_maximum,EWT_minimum,EWT_length
2018,09,55.61694541979451,57.0,4.388811538640456,19.261666721703612,71.8,47.6,48131
2018,10,44.95461705086712,44.0,4.091716822843197,16.742146558338025,69.1,38.2,149576
2018,11,37.68475222421354,36.8,3.4653669189763825,12.008767883135867,64.5,30.6,213782
2018,12,33.80498141650115,33.5,2.249262618057762,5.059182324992058,46.0,29.7,251836
2019,01,31.213063212050532,30.8,1.8715963071643227,3.50287273699113,40.7,28.3,266152
2019,02,31.681441356402335,31.6,1.9181411395211492,3.679265431123493,50.2,28.0,237221
2019,03,33.544146867715696,33.4,2.7293294927618064,7.449239480059418,60.2,28.3,243784
2019,04,38.6305918181518,38.7,2.4671645355131964,6.086900845294046,64.7,32.1,154659
2019,05,44.327547190412474,42.9,5.0490409998189065,25.4928150178523,64.4,37.5,146534
2019,06,54.40103051257106,54.0,3.8319964666739263,14.684196920601456,64.5,46.2,59582
2019,07,61.422025176092475,61.3,4.228102400982541,17.876849913194327,71.4,50.5,140689
2019,08,59.91325727543298,60.0,3.2810901265852848,10.765552418775439,68.9,49.6,119821
2019,09,54.22689387783321,54.8,3.365232080450687,11.324786955294458,65.6,46.0,86146
2019,10,46.45223481564078,46.0,2.4118843331245343,5.817186036371579,59.3,41.0,140638
2019,11,38.449190390883324,37.8,2.8606857013434803,8.18352268187104,57.0,33.1,242895
2019,12,33.6047872160805,33.5,1.7415801679626286,3.0331014814407378,39.9,29.7,266209
2020,01,33.529516155095514,33.5,2.2713319761400923,5.158948945836457,50.9,29.1,260166
2020,02,33.331538433468666,33.1,1.9350792828925927,3.7445318310801103,40.7,29.1,246569
2020,03,36.78703786170972,36.8,2.27186101119668,5.161352454195601,52.4,30.0,226799
2020,04,38.31725851116071,38.2,1.7622498166683838,3.1055244163477522,54.5,33.9,221004
2020,05,42.604239377289005,41.6,3.2718755388749257,10.705169541888084,56.0,38.3,51517
2020,06,58.527692636530794,59.2,4.232919985891909,17.917611606963163,66.7,49.3,46785
2020,07,61.46200711233458,61.7,4.540466490301352,20.615835949549474,71.1,48.9,153255
2020,08,60.887959501801554,61.3,4.693829943522756,22.03203953871084,70.4,49.9,132154
2020,09,53.50155574528813,53.0,4.879954858207972,23.81395941814759,64.8,43.5,111265
2020,10,45.42887664604747,45.5,3.2912654026735653,10.832427950835985,60.5,37.0,156282
2020,11,39.987040667486944,39.7,2.456031721871311,6.032091818838157,60.3,34.1,215258
2020,12,35.380128902290515,34.9,2.447701002136414,5.991240195859605,47.5,30.8,262059
2021,01,32.99791208694726,33.1,1.6776461240885727,2.814496517669411,37.3,28.3,222902
2021,02,31.38957200570736,31.2,1.3684137121235824,1.8725560875278429,42.4,28.5,216101
2021,03,35.23642599739766,34.7,3.5420699539503966,12.546259558678166,54.0,29.3,227269
2021,04,39.86827878123274,39.7,2.9396509378899536,8.641547636637283,56.2,33.4,196326
2021,05,46.460196231794434,44.2,5.575208362746788,31.08294828804172,63.3,39.2,162359
2021,06,58.200775112331556,59.3,6.578595772170479,43.2779223336193,70.1,42.1,76118
2021,07,57.77529732644385,58.4,4.2578989271951615,18.12970327420971,66.7,47.5,63062
2021,08,61.884096579396186,61.1,4.561605027706732,20.808240428799337,71.6,49.6,98199
2021,09,56.16993875973174,57.0,4.137155165102053,17.116052860130598,66.6,47.6,50457
2021,10,47.38726272940008,47.5,3.148277311975838,9.911650033101807,64.4,40.2,88928
2021,11,40.11276714267203,40.2,2.428605527362735,5.898124807536828,57.0,34.1,206444
2021,12,36.384663897512205,36.2,1.9160749651617608,3.6713432721196426,45.4,32.3,256395
2022,01,31.896213695125997,31.4,2.1917401090030637,4.803724705412762,40.5,28.5,267147
2022,02,32.3141262658502,31.9,2.1516181234666627,4.629460549230203,47.3,28.5,168169
